S.no,Constituency,Party,Majority,latitude,longitude
1,Andaman & Nicobar Islands,INC,"1,407",10.2188344,92.5771329
1,Araku,YCP,"2,24,089",18.3329216,82.8652583
2,Srikakulam,Other,"6,653",18.32002205,83.9160772
3,Vizianagaram,YCP,"48,036",18.1120819,83.40521962
4,Visakhapatnam,YCP,"4,414",17.7231276,83.3012842
5,Anakapalli,YCP,"89,192",17.6858653,82.9884187
6,Kakinada,YCP,"25,738",16.9437385,82.2350607
7,Amalapuram,YCP,"39,966",16.57950675,81.99732471
8,Rajahmundry,YCP,"1,21,634",17.0050454,81.7804732
9,Narasapuram,YCP,"31,909",16.4386275,81.7015011
10,Eluru,YCP,"1,65,925",16.67613485,81.17086824
11,Machilipatnam,YCP,"60,141",16.1819393,81.1351299
12,Vijayawada,Other,"8,726",16.5087586,80.6185102
13,Guntur,Other,"4,205",16.2915189,80.4541588
14,Narasaraopet,YCP,"1,53,978",16.2389242,80.0472879
15,Bapatla,YCP,"16,065",15.9052608,80.4680501
16,Ongole,YCP,"2,14,851",15.5075545,80.06078519
17,Nandyal,YCP,"2,50,119",15.47537735,78.47855757
18,Kurnool,YCP,"1,48,889",15.8309251,78.0425373
19,Anantapur,YCP,"1,41,428",14.6546235,77.55625984
20,Hindupur,YCP,"1,40,748",13.826383,77.4937723
21,Kadapa,YCP,"3,80,976",14.4752936,78.8216861
22,Nellore,YCP,"1,48,571",14.4493717,79.9873763
23,Tirupati,YCP,"2,28,376",13.6316368,79.4231711
24,Rajampet,YCP,"2,68,284",14.200322,79.11028622
25,Chittoor,YCP,"1,37,271",13.1601048,79.15555062
1,Arunachal West,BJP,"1,74,843",27.6891712,96.4597226
2,Arunachal East,BJP,"69,948",27.6891712,96.4597226
1,Karimganj,BJP,"38,389",24.8483482,92.33221292
2,Silchar,BJP,"81,596",24.8178611,92.75622075
3,Autonomous District,BJP,"2,39,626",22.5299705,92.90378493
4,Dhubri,AIUDF,"2,26,258",26.01894625,89.94188952
5,Kokrajhar,I,"37,786",26.58687695,90.29293105
6,Barpeta,INC,"1,40,307",26.34142215,91.01674328
7,Gauhati,BJP,"3,45,606",26.1805978,91.753943
8,Mangaldoi,BJP,"1,38,545",26.4853336,92.04490249
9,Tezpur,BJP,"2,42,841",26.61695705,92.76500717
10,Nowgong,INC,"16,752",26.133333,92.666667
11,Kaliabor,INC,"2,09,994",26.5493378,92.98563014
12,Jorhat,BJP,"82,653",26.7577925,94.2079645
13,Dibrugarh,BJP,"3,64,566",27.4844597,94.9019447
14,Lakhimpur,BJP,"3,50,551",27.98506015,80.75384538
1,Valmiki Nagar,JDU,"3,54,616",19.0652106,72.8552738
2,Paschim Champaran,BJP,"2,93,906",26.7967626,84.5007513
3,Purvi Champaran,BJP,"2,93,648",26.6098,84.8568
4,Sheohar,JDU,"3,40,360",26.49436945,85.2728056
5,Sitamarhi,JDU,"2,50,539",26.5876547,85.5056744
6,Madhubani,BJP,"4,54,940",26.350072,86.22914689
7,Jhanjharpur,JDU,"3,22,951",26.287153,86.34039252
8,Supaul,JDU,"2,66,853",26.2768118,86.79658663
9,Araria,BJP,"1,37,241",26.26498795,87.37162648
10,Kishanganj,INC,"34,466",26.29863795,87.95314811
11,Katihar,JDU,"57,203",25.56090035,87.64765354
12,Purnia,JDU,"2,63,461",25.7773601,87.4731227
13,Madhepura,JDU,"3,01,527",25.9259562,86.82042961
14,Darbhanga,BJP,"2,67,979",26.08314325,86.03257097
15,Muzaffarpur,BJP,"4,09,988",26.1486581,85.34001282
16,Vaishali,LJP,"2,34,584",25.75,85.416667
17,Gopalganj,JDU,"2,86,434",26.4207265,84.37406407
18,Siwan,JDU,"1,16,958",26.1310043,84.39125661
19,Maharajganj,BJP,"2,30,772",27.09254225,83.56696261
20,Saran,BJP,"1,38,429",25.90835495,84.78074761
21,Hajipur,LJP,"2,05,449",25.7205805,85.25555961
22,Ujiarpur,BJP,"2,77,278",25.7590443,85.81711836
23,Samastipur,LJP,"2,51,643",25.7744929,85.86626813
24,Begusarai,BJP,"4,22,217",25.5127194,86.09057109
25,Khagaria,LJP,"2,48,570",25.4916868,86.69910848
26,Bhagalpur,JDU,"2,77,630",25.28669805,87.13225355
27,Banka,JDU,"2,00,532",24.8655681,86.87278642
28,Munger,JDU,"1,67,937",25.22081165,86.51720367
29,Nalanda,JDU,"2,56,137",25.1364914,85.44365465
30,Patna Sahib,BJP,"2,84,657",25.585981,85.2306042
31,Pataliputra,BJP,"39,321",13.2780619,78.0427444
32,Arrah,BJP,"1,47,285",25.62345725,84.59683869
33,Buxar,BJP,"1,17,609",25.5620715,84.01567205
34,Sasaram,BJP,"1,65,745",24.9001003,84.01821107
35,Karakat,JDU,"84,542",25.1697215,84.2974162
36,Jahanabad,JDU,"1,751",25.2420022,85.0206457
37,Aurangabad,BJP,"72,607",19.877263,75.3390241
38,Gaya,JDU,"1,52,426",24.7964355,85.0079563
39,Nawada,LJP,"1,48,072",24.818124,85.51855623
40,Jamui,LJP,"2,41,049",24.96785205,86.17351147
1,Chandigarh,BJP,"46,970",30.7194022,76.7646552
1,Sarguja,BJP,"1,57,873",22.9494,83.1649
2,Raigarh,BJP,"66,027",22.5,83.5
3,Janjgir-Champa,BJP,"83,255",21.9671264,82.66472425
4,Korba,INC,"26,349",22.51976955,82.62951462
5,Bilaspur,BJP,"1,41,763",28.8680526,79.29838501
6,Rajnandgaon,BJP,"1,11,966",20.9727404,80.69155548
7,Durg,BJP,"3,91,978",21.19903535,81.39795456
8,Raipur,BJP,"3,48,238",21.2379469,81.6336833
9,Mahasamund,BJP,"90,511",21.1882332,82.48484762
10,Bastar,INC,"38,982",19.11912825,81.82918649
11,Kanker,BJP,"6,914",20.1270026,80.98109349
1,Dadra And Nagar Haveli,I,"9,001",20.2735169,73.0043578
1,Daman And Diu,BJP,"9,942",20.4148865,72.8334609
1,Chandni Chowk,BJP,"2,28,145",28.6559834,77.2321937
2,North East Delhi,BJP,"3,66,102",28.72330795,77.26685651
3,East Delhi,BJP,"3,91,222",28.6204767,77.30918071
4,New Delhi,BJP,"2,56,504",28.6141793,77.2022662
5,North West Delhi,BJP,"5,53,897",28.6141793,77.2022662
6,West Delhi,BJP,"5,78,486",28.6479519,77.08556541
7,South Delhi,BJP,"3,67,043",28.4851694,77.19637972
1,North Goa,BJP,"80,247",15.60444125,74.00172406
2,South Goa,INC,"9,755",15.21961365,74.1152813
1,Kachchh,BJP,"3,05,513",23.583333,70
2,Banaskantha,BJP,"3,68,296",24.172056,72.431134
3,Patan,BJP,"1,93,879",23.77405735,71.68373466
4,Mahesana,BJP,"2,81,519",23.666667,72.5
