Country,Confirmed,Deaths,Continent
United States,"15,76,950","93,858",North America
Russia,"3,08,705","2,972",Europe
Spain,"2,78,803","27,778",Europe
Brazil,"2,75,382","18,130",South America
United Kingdom,"2,48,818","35,341",Europe
Italy,"2,26,699","32,169",Europe
France,"1,80,809","28,022",Europe
Germany,"1,78,170","8,213",Europe
Turkey,"1,52,587","4,222",Asia
Iran,"1,26,949","7,183",Asia
India,"1,11,602","3,426",Asia
Peru,"99,483","2,914",South America
China,"82,965","4,634",Asia
Canada,"79,503","5,956",North America
Saudi Arabia,"62,545",339,Asia
Belgium,"55,983","9,150",Europe
Mexico,"54,346","5,666",North America
Chile,"53,617",544,South America
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
